[2025-01-01T05:54:46,882][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [repositories-metering-api]
[2025-01-01T05:54:46,882][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [transform]
[2025-01-01T05:54:46,883][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [repository-azure]
[2025-01-01T05:54:46,883][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [repository-gcs]
[2025-01-01T05:54:46,883][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [spatial]
[2025-01-01T05:54:46,883][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [apm]
[2025-01-01T05:54:46,883][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [mapper-extras]
[2025-01-01T05:54:46,884][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [mapper-version]
[2025-01-01T05:54:46,884][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-rollup]
[2025-01-01T05:54:46,884][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [percolator]
[2025-01-01T05:54:46,884][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [data-streams]
[2025-01-01T05:54:46,884][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-stack]
[2025-01-01T05:54:46,884][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [rank-eval]
[2025-01-01T05:54:46,885][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [reindex]
[2025-01-01T05:54:46,885][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [x-pack-security]
[2025-01-01T05:54:46,885][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [blob-cache]
[2025-01-01T05:54:46,885][INFO ][o.e.p.PluginsService     ] [wsapp-node-1] loaded module [searchable-snapshots]
